1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.245588	0.000000	3.454867	0.009819	300.3
1	-0.262288	0.000000	3.454867	0.015295	1.0
2	-0.261242	0.000000	3.454867	0.013391	1.0
3	-0.255926	0.000000	3.454867	0.012610	1.0
4	-0.249599	0.000000	3.454867	0.012074	1.0
5	-0.244288	0.000000	3.454867	0.008368	1.0
6	-0.277298	0.000000	3.454867	0.012919	1.0
7	-0.253761	0.000000	3.454867	0.009883	1.0
8	-0.265436	0.000000	3.454867	0.005989	1.0
9	-0.277699	0.000000	3.454867	0.013298	1.1
10	-0.280190	0.000000	3.454867	0.012253	1.0
11	-0.256966	0.000000	3.454867	0.008049	1.1
12	-0.256262	0.000000	3.454867	0.013174	1.0
13	-0.256376	0.999678	3.297876	0.011011	1.0
14	-0.265624	0.065816	3.444073	0.013245	1.0
15	-0.276473	0.000000	3.454867	0.007589	1.0
16	-0.260138	0.998925	3.297989	0.012245	1.0
17	-0.253961	0.052243	3.446293	0.015673	1.1
18	-0.288751	0.000000	3.454867	0.011895	1.0
19	-0.267780	1.000000	3.297827	0.008149	1.0
20	-0.247469	0.053167	3.446142	0.005801	1.0
21	-0.237271	0.884870	3.315176	0.008986	1.0
22	-0.264128	1.884209	3.170405	0.010299	1.0
23	-0.272237	1.175692	3.271700	0.012895	1.0
24	-0.287699	0.228895	3.417616	0.011224	1.0
25	-0.264589	0.000000	3.454867	0.014162	1.0
26	-0.254481	0.000000	3.454867	0.010306	1.0
27	-0.267058	0.999995	3.297828	0.006923	1.0
28	-0.277734	0.134259	3.432919	0.013174	1.1
29	-0.263423	0.000000	3.454867	0.006179	1.0
30	-0.266875	0.987120	3.299759	0.006385	1.0
31	-0.267788	0.200923	3.422125	0.014592	1.0
32	-0.243053	1.129506	3.278528	0.008910	1.0
33	-0.268328	2.128311	3.136943	0.006658	1.0
34	-0.262394	1.507570	3.223458	0.008461	1.1
35	-0.262609	0.622489	3.355405	0.010104	1.0
36	-0.269205	1.622396	3.207096	0.016068	1.0
37	-0.258413	0.677689	3.346861	0.010394	0.9
38	-0.268375	1.677689	3.199277	0.014952	1.0
39	-0.273882	2.671133	3.065008	0.006333	1.0
40	-0.262144	3.246769	2.992242	0.006979	1.0
41	-0.280990	3.775611	2.928372	0.009258	1.1
42	-0.257162	2.831639	3.044365	0.008521	1.0
43	-0.266210	1.885243	3.170261	0.005627	1.0
44	-0.281682	2.883233	3.037788	0.014524	1.0
45	-0.264542	3.882927	2.915742	0.010901	1.1
46	-0.256713	3.112175	3.008945	0.014750	1.1
47	-0.283586	2.165366	3.131926	0.015891	1.0
48	-0.264211	1.218527	3.265392	0.008937	1.0
49	-0.279554	0.827148	3.323943	0.006645	0.9
50	-0.259006	1.825874	3.178507	0.007714	0.9
51	-0.268237	2.472788	3.090907	0.012651	1.0
52	-0.275284	2.755095	3.054174	0.009835	1.0
53	-0.268126	3.755094	2.930799	0.019124	1.0
54	-0.243403	4.755092	2.817004	0.009499	1.0
55	-0.256873	3.808253	2.924519	0.007852	1.0
56	-0.258342	2.862998	3.040364	0.013209	1.0
57	-0.266120	3.846784	2.919984	0.012949	1.0
58	-0.247228	4.846783	2.807011	0.013182	1.0
59	-0.264419	5.762231	2.710992	0.008446	1.0
60	-0.257489	6.756845	2.613849	0.013418	1.0
61	-0.250314	5.818554	2.705299	0.014266	1.0
62	-0.264833	4.871715	2.804306	0.014721	1.0
63	-0.262761	5.871715	2.699947	0.012103	0.9
64	-0.265427	4.924875	2.798556	0.005086	1.0
65	-0.261271	5.838115	2.703327	0.009607	1.0
66	-0.254273	6.522185	2.636135	0.012738	1.0
67	-0.278485	5.576337	2.729955	0.005364	1.0
68	-0.264609	4.630101	2.830742	0.014354	1.0
69	-0.269884	3.683414	2.939310	0.007064	1.0
70	-0.268488	2.736582	3.056556	0.006912	1.0
71	-0.251444	3.710110	2.936134	0.012464	0.9
72	-0.268179	2.987280	3.024612	0.007216	1.1
73	-0.262992	2.040507	3.148898	0.011479	1.0
74	-0.281672	2.925582	3.032411	0.010452	0.9
75	-0.273890	3.925533	2.910758	0.010436	1.0
76	-0.278043	4.887192	2.802629	0.009181	1.0
77	-0.268766	5.887187	2.698393	0.009970	1.0
78	-0.277784	4.940361	2.796885	0.009175	1.0
79	-0.256700	3.995017	2.902667	0.017739	1.0
80	-0.254308	3.048283	3.016939	0.012960	1.0
81	-0.257004	2.101443	3.140592	0.013368	1.0
82	-0.260156	3.101437	3.010285	0.010638	1.0
83	-0.249404	2.154708	3.133367	0.007388	1.0
84	-0.265182	1.220208	3.265145	0.011443	1.0
85	-0.247671	2.220040	3.124551	0.008746	1.0
86	-0.261936	3.220034	2.995545	0.014043	1.0
87	-0.258014	2.273194	3.117415	0.005416	0.9
88	-0.262845	1.328103	3.249367	0.008264	0.9
89	-0.265828	0.383611	3.392888	0.011547	0.9
90	-0.260814	1.382932	3.241408	0.010454	1.0
91	-0.279828	2.382103	3.102895	0.005497	1.0
92	-0.249936	3.380372	2.975845	0.019914	1.0
93	-0.261893	4.378697	2.858784	0.009429	1.0
94	-0.251279	3.431857	2.969574	0.016341	1.0
95	-0.277283	4.431857	2.852808	0.006510	0.9
96	-0.270218	3.485017	2.963127	0.013990	0.9
97	-0.256254	4.402534	2.856101	0.014595	1.1
98	-0.261637	5.402534	2.747926	0.004945	1.0
99	-0.256601	4.549964	2.839621	0.008764	1.0
100	-0.287592	3.619430	2.946949	0.012203	1.0
101	-0.245113	3.474012	2.964459	0.009505	1.0
102	-0.261091	4.474011	2.848087	0.006715	1.0
103	-0.262046	5.330063	2.755489	0.006699	1.0
104	-0.274672	6.117236	2.675501	0.007993	1.0
105	-0.252133	6.185463	2.668787	0.008696	1.0
106	-0.266657	7.175865	2.574977	0.016792	1.0
107	-0.242235	6.229026	2.664517	0.011269	1.0
108	-0.262526	5.282188	2.760509	0.009159	0.9
109	-0.271966	5.119609	2.777691	0.011335	1.0
110	-0.272265	5.915707	2.695534	0.007889	1.0
111	-0.252538	6.790644	2.610670	0.009913	0.9
112	-0.276767	7.708639	2.527191	0.011942	1.0
113	-0.261367	6.885852	2.601757	0.009891	1.0
114	-0.279885	7.884932	2.511767	0.006910	1.0
115	-0.265937	6.938983	2.596809	0.015501	1.0
116	-0.269945	7.837811	2.515871	0.009921	1.0
117	-0.268569	6.890971	2.601279	0.005121	0.9
118	-0.261521	6.867156	2.603502	0.007320	1.0
119	-0.261126	5.957598	2.691345	0.009918	0.9
120	-0.265071	5.011078	2.789281	0.010210	1.0
121	-0.259851	6.011069	2.686017	0.002354	1.1
122	-0.250510	5.148362	2.774637	0.011521	1.0
123	-0.260222	4.272297	2.870820	0.009399	1.0
124	-0.265227	3.325461	2.982562	0.012120	1.0
125	-0.270053	4.308476	2.866716	0.006836	0.9
126	-0.276947	5.285062	2.760207	0.009225	1.0
127	-0.264910	4.456090	2.850092	0.007015	0.9
128	-0.260584	5.150530	2.774407	0.013344	0.9
129	-0.256642	6.150232	2.672250	0.018870	0.9
130	-0.263245	7.150232	2.577322	0.010301	1.0
131	-0.259775	6.203408	2.667026	0.009298	1.0
132	-0.265455	7.030846	2.588299	0.004673	1.0
133	-0.262380	6.797789	2.609999	0.007076	1.0
134	-0.267539	7.758455	2.522813	0.011602	1.0
135	-0.265903	8.193456	2.485221	0.005719	1.0
136	-0.257643	9.192879	2.402957	0.013128	1.0
137	-0.253731	8.246312	2.480730	0.010091	1.0
138	-0.263280	7.299492	2.563728	0.008356	1.0
139	-0.256408	8.299461	2.476230	0.005993	1.0
140	-0.272044	7.607481	2.536127	0.015811	1.0
141	-0.267393	6.699744	2.619237	0.007683	1.0
142	-0.256647	7.699742	2.527974	0.007135	1.0
143	-0.277453	6.754592	2.614061	0.008591	1.0
144	-0.277760	5.808072	2.706357	0.010362	0.9
145	-0.286989	6.794953	2.610265	0.006390	1.0
146	-0.271194	7.124438	2.579685	0.013584	1.0
147	-0.269215	7.996326	2.502117	0.010689	1.0
148	-0.261882	8.996326	2.418703	0.012554	1.0
149	-0.268505	8.055050	2.497060	0.010715	0.9
150	-0.243395	7.108210	2.581175	0.009867	1.0
151	-0.282520	6.164043	2.670891	0.011160	1.1
152	-0.257443	5.217759	2.767292	0.014047	1.0
153	-0.282150	5.787881	2.708397	0.015823	1.0
154	-0.253310	6.787862	2.610932	0.014153	1.0
155	-0.260911	5.841022	2.703034	0.008543	0.9
156	-0.255820	4.894360	2.801854	0.010544	1.0
157	-0.265888	5.633347	2.724111	0.010485	1.0
158	-0.271863	6.156318	2.671651	0.009745	1.0
159	-0.257601	7.156275	2.576769	0.007238	1.0
160	-0.262768	8.102665	2.492975	0.007507	1.0
161	-0.259705	7.226729	2.570337	0.011441	0.9
162	-0.254765	6.851316	2.604983	0.010648	1.1
163	-0.263130	7.461360	2.549147	0.008864	1.0
164	-0.256402	7.842823	2.515434	0.010117	1.0
165	-0.275994	6.982748	2.592748	0.009419	1.0
166	-0.286203	7.340675	2.560003	0.010532	1.0
167	-0.282642	8.340672	2.472752	0.010507	0.9
168	-0.281093	9.340550	2.391262	0.006533	1.0
169	-0.260391	8.393855	2.468278	0.007615	1.0
170	-0.267987	9.391273	2.387271	0.003786	1.0
171	-0.274012	9.053141	2.414131	0.006685	0.9
172	-0.257620	8.497296	2.459622	0.010165	0.9
173	-0.251477	9.497147	2.378983	0.007357	1.0
174	-0.254314	10.482383	2.304533	0.008818	1.1
175	-0.271721	11.477769	2.233904	0.006272	1.0
176	-0.250125	10.982384	2.268505	0.012287	1.0
177	-0.261706	11.981623	2.199777	0.009532	1.0
178	-0.260718	12.981612	2.135043	0.010286	1.0
179	-0.261770	13.979430	2.074139	0.009657	1.0
180	-0.265848	13.528852	2.101205	0.009359	0.9
181	-0.283435	12.584187	2.160308	0.010000	1.0
182	-0.274980	13.571808	2.098594	0.008798	0.9
183	-0.268021	14.138118	2.064772	0.009879	0.9
184	-0.259431	13.221253	2.120092	0.010077	0.9
185	-0.261149	12.274416	2.180420	0.009884	1.0
186	-0.274050	13.273263	2.116875	0.005526	1.0
187	-0.264936	14.250700	2.058178	0.012780	1.0
188	-0.253945	15.250002	2.001440	0.005611	1.0
189	-0.256916	14.314435	2.054463	0.014838	1.0
190	-0.272461	15.306402	1.998331	0.013035	0.9
191	-0.266796	15.816365	1.970651	0.011754	1.0
192	-0.265622	16.809777	1.918874	0.006521	1.0
193	-0.264672	17.762396	1.871716	0.012560	1.0
194	-0.263571	16.815574	1.918580	0.009453	0.9
195	-0.258822	16.594894	1.929842	0.008489	1.0
196	-0.256291	15.655021	1.979325	0.011887	1.0
197	-0.270156	14.709252	2.031748	0.010249	1.0
198	-0.283837	13.786999	2.085613	0.009045	1.0
199	-0.260364	14.786915	2.027339	0.010954	0.9
200	-0.259922	15.786914	1.972229	0.006258	1.0
201	-0.277312	14.847169	2.023931	0.004685	0.9
202	-0.249512	14.183412	2.062114	0.011760	0.9
