1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.234610	0.000000	2.694383	0.023940	438.8
1	-0.248372	0.000000	2.694383	0.010199	1.6
2	-0.244637	0.954842	2.577201	0.012104	1.4
3	-0.228306	0.003809	2.693895	0.018138	1.4
4	-0.251645	1.003809	2.571466	0.016428	1.1
5	-0.232482	2.003809	2.459682	0.018349	1.1
6	-0.247999	1.050939	2.565970	0.013540	1.4
7	-0.215577	0.098069	2.681859	0.014651	1.1
8	-0.230939	0.999989	2.571913	0.011386	1.1
9	-0.235312	0.432890	2.639964	0.016917	1.0
10	-0.248087	0.408153	2.643014	0.012386	1.0
11	-0.222374	1.105165	2.559675	0.012982	1.0
12	-0.244247	1.865723	2.474536	0.011823	1.2
13	-0.251247	0.923400	2.580898	0.026445	1.0
14	-0.231055	0.000000	2.694383	0.014399	1.1
15	-0.240364	1.000000	2.571911	0.018741	1.4
16	-0.232998	1.614752	2.501997	0.017741	1.0
17	-0.233744	2.611618	2.396365	0.012251	1.1
18	-0.228020	3.599245	2.300154	0.009043	1.0
19	-0.237379	4.586238	2.211425	0.021970	1.2
20	-0.230757	5.586238	2.128246	0.021255	1.2
21	-0.230352	4.633369	2.207359	0.023108	1.1
22	-0.230963	5.633369	2.124480	0.016373	1.1
23	-0.252922	6.605936	2.049633	0.023781	1.0
24	-0.227975	7.605932	1.977983	0.014753	1.3
25	-0.222238	6.653998	2.046071	0.016685	1.1
26	-0.225683	7.108925	2.012957	0.017495	1.2
27	-0.242953	8.108925	1.943804	0.024507	1.2
28	-0.231878	7.178206	2.008007	0.016712	1.2
29	-0.244643	8.178206	1.939189	0.021967	1.2
30	-0.235709	7.225341	2.004654	0.017909	1.4
31	-0.234677	6.461892	2.060384	0.012226	1.2
32	-0.230100	5.848147	2.107484	0.020046	1.6
33	-0.224136	6.848146	2.031807	0.014331	1.3
34	-0.234906	5.895277	2.103791	0.012455	1.3
35	-0.227531	4.943020	2.181012	0.012561	2.8
36	-0.215460	5.938811	2.100391	0.019341	1.7
37	-0.228625	4.985941	2.177410	0.009277	1.8
38	-0.231600	5.751720	2.115081	0.015758	1.6
39	-0.231076	6.746178	2.039274	0.016659	1.6
40	-0.223221	7.746178	1.968333	0.020180	1.2
41	-0.235081	6.800421	2.035295	0.006774	1.2
42	-0.228904	6.504940	2.057160	0.014819	1.2
43	-0.229693	7.452454	1.988653	0.012238	1.1
44	-0.248455	8.368599	1.926617	0.013815	1.1
45	-0.230222	7.431470	1.990120	0.011778	1.2
46	-0.222471	6.497229	2.057736	0.005785	1.1
47	-0.221679	7.471731	1.987306	0.015781	1.2
48	-0.244225	8.471604	1.919884	0.024200	1.2
49	-0.224975	9.471604	1.856878	0.021316	1.1
50	-0.220365	8.519032	1.916799	0.024002	1.3
51	-0.215317	9.519032	1.853992	0.013929	1.2
52	-0.214978	8.604998	1.911233	0.015958	2.2
53	-0.222847	9.604743	1.848800	0.012098	1.7
54	-0.228152	10.543867	1.793758	0.013901	1.2
55	-0.250815	11.543860	1.738640	0.018906	1.2
56	-0.224557	12.543860	1.686808	0.019462	1.1
57	-0.234408	13.525837	1.638832	0.011331	1.1
58	-0.242970	14.525837	1.592701	0.010930	1.0
59	-0.230061	15.525787	1.549099	0.010492	1.0
60	-0.227162	15.128760	1.566122	0.019371	1.2
61	-0.210498	16.126572	1.524031	0.008624	1.1
62	-0.227444	17.126559	1.484059	0.025066	1.1
63	-0.216951	16.175118	1.522041	0.011227	1.2
64	-0.240676	15.223079	1.562044	0.007932	1.1
65	-0.225931	14.376588	1.599421	0.019158	1.5
66	-0.245292	13.429148	1.643434	0.012567	1.5
67	-0.240697	14.410225	1.597901	0.014502	1.3
68	-0.218146	13.457437	1.642085	0.017167	1.4
69	-0.260071	12.504580	1.688785	0.025460	1.6
70	-0.213626	13.503289	1.639903	0.005947	1.7
71	-0.225117	12.854232	1.671343	0.018749	3.1
72	-0.234962	12.978100	1.665251	0.008057	1.6
73	-0.241861	12.065094	1.711232	0.017626	1.5
74	-0.230090	11.112232	1.762009	0.017178	2.7
75	-0.221253	10.159363	1.815892	0.009515	1.9
76	-0.210708	11.158428	1.759478	0.009752	1.9
77	-0.241653	10.371076	1.803637	0.011276	2.1
78	-0.230446	11.355136	1.748781	0.011562	2.3
