1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.413654	0.000000	17.614761	0.004338	44.2
1	-0.411269	0.000000	17.614761	0.006662	1.0
2	-0.399725	0.000000	17.614761	0.003721	1.0
3	-0.403678	0.000000	17.614761	0.004508	0.9
4	-0.405177	0.000000	17.614761	0.006494	0.9
5	-0.408077	0.000000	17.614761	0.005445	1.0
6	-0.405588	0.000000	17.614761	0.006267	0.9
7	-0.406065	0.985990	16.824804	0.006685	0.9
8	-0.417872	0.740041	17.015146	0.004926	1.0
9	-0.411649	0.494092	17.209845	0.004137	0.9
10	-0.394288	0.248162	17.409034	0.006178	1.0
11	-0.405950	0.005057	17.610520	0.006493	1.0
12	-0.391839	0.000000	17.614761	0.006264	1.0
13	-0.395415	0.000000	17.614761	0.013315	1.0
14	-0.396805	0.000000	17.614761	0.011737	0.9
15	-0.406728	0.000000	17.614761	0.009264	0.9
16	-0.398627	0.000000	17.614761	0.008762	0.9
17	-0.428473	0.000000	17.614761	0.011985	0.9
18	-0.404246	0.000000	17.614761	0.008135	1.0
19	-0.396328	0.000000	17.614761	0.010304	0.9
20	-0.411307	0.000000	17.614761	0.009707	1.0
21	-0.397989	0.000000	17.614761	0.008658	0.9
22	-0.408436	0.000000	17.614761	0.008143	0.9
23	-0.392575	0.000000	17.614761	0.006716	0.9
24	-0.402866	0.000000	17.614761	0.007798	0.9
25	-0.421710	0.000000	17.614761	0.011268	0.9
26	-0.411678	0.000000	17.614761	0.007986	0.9
27	-0.419354	0.000000	17.614761	0.007491	1.0
28	-0.457370	0.000000	17.614761	0.003660	0.9
29	-0.445297	0.999996	16.814094	0.007861	1.0
30	-0.404088	1.999946	16.083081	0.006521	0.9
31	-0.417950	1.753996	16.256924	0.005841	0.9
32	-0.424922	1.508047	16.434566	0.007337	0.9
33	-0.418151	1.262098	16.616133	0.008051	1.0
34	-0.438629	1.016148	16.801757	0.005426	0.9
35	-0.411037	2.016148	16.071759	0.002558	0.9
36	-0.464109	1.779646	16.238619	0.005061	0.9
37	-0.418917	1.534461	16.415302	0.004653	1.0
38	-0.404991	1.299111	16.588553	0.007584	0.9
39	-0.437807	1.073453	16.758139	0.003684	0.9
40	-0.420021	0.827504	16.946967	0.004639	0.9
41	-0.418598	0.581555	17.140099	0.005020	0.9
42	-0.404233	1.576176	16.384970	0.003875	0.9
43	-0.450905	1.341939	16.556754	0.006782	0.9
44	-0.440714	1.095990	16.741046	0.005242	1.0
45	-0.424323	0.850040	16.929487	0.007347	1.0
46	-0.412517	0.604091	17.122219	0.005071	1.0
47	-0.444444	0.358142	17.319390	0.006477	0.9
48	-0.424111	0.160223	17.481384	0.007197	0.9
49	-0.414260	0.000000	17.614761	0.004644	1.0
50	-0.414781	0.000000	17.614761	0.007801	1.1
51	-0.411505	0.000000	17.614761	0.002933	0.9
52	-0.450753	0.000000	17.614761	0.008347	0.9
53	-0.447466	0.100262	17.531061	0.005357	0.9
54	-0.456208	0.000000	17.614761	0.004179	0.9
55	-0.413365	0.919301	16.875993	0.007084	1.0
56	-0.416426	1.679044	16.310652	0.004395	0.9
57	-0.450548	1.433095	16.489476	0.006728	1.0
58	-0.431919	1.187298	16.672151	0.006874	1.0
59	-0.409383	0.941349	16.859036	0.005368	1.0
60	-0.422353	0.696116	17.049594	0.008249	1.0
61	-0.398037	0.450167	17.245086	0.004919	0.9
62	-0.429533	0.204218	17.445113	0.005982	0.9
63	-0.418445	0.000000	17.614761	0.008909	0.9
64	-0.437803	0.000000	17.614761	0.009028	1.0
65	-0.421478	0.000000	17.614761	0.004397	1.0
66	-0.426986	0.000000	17.614761	0.007973	1.1
67	-0.407267	0.000000	17.614761	0.005449	1.1
68	-0.450526	0.000000	17.614761	0.004019	1.1
69	-0.440904	0.000000	17.614761	0.004517	1.1
70	-0.396100	0.000000	17.614761	0.003693	0.9
71	-0.417568	0.000000	17.614761	0.003787	1.1
72	-0.425902	0.842315	16.935475	0.007930	1.0
73	-0.418088	1.839574	16.196011	0.005575	1.0
74	-0.422995	1.593624	16.372317	0.004499	1.0
75	-0.405951	1.347680	16.552500	0.005176	1.0
76	-0.453929	1.101731	16.736697	0.004905	0.9
77	-0.437919	0.855808	16.925019	0.005348	1.0
78	-0.439091	0.609861	17.117647	0.003808	0.9
79	-0.443645	0.363917	17.314708	0.006587	1.0
80	-0.454237	1.361145	16.542534	0.006124	0.9
81	-0.425172	1.115195	16.726508	0.002875	0.9
82	-0.412805	0.895482	16.894352	0.004398	0.9
83	-0.438131	0.661209	17.077070	0.005355	0.9
84	-0.396266	0.415264	17.273193	0.006480	1.0
85	-0.447544	1.413766	16.503696	0.004298	0.9
86	-0.424912	1.269499	16.610611	0.004633	0.9
87	-0.400085	1.023686	16.796007	0.004558	1.0
88	-0.420329	1.605084	16.364017	0.003313	0.9
89	-0.417027	1.359632	16.543653	0.005378	1.0
90	-0.408381	1.150663	16.699725	0.008058	0.9
91	-0.423509	0.905253	16.886816	0.006137	0.9
92	-0.441780	0.659304	17.078572	0.010658	0.9
93	-0.412613	0.413355	17.274733	0.003713	0.9
94	-0.439903	0.538583	17.174295	0.006102	1.0
95	-0.427023	0.339413	17.334590	0.004000	0.9
96	-0.412982	0.093466	17.536709	0.005277	0.9
97	-0.416371	0.000000	17.614761	0.004851	0.8
98	-0.432916	0.000000	17.614761	0.006818	0.9
99	-0.451566	0.000000	17.614761	0.005599	0.8
100	-0.444682	0.000000	17.614761	0.006934	0.9
101	-0.422449	0.179568	17.465417	0.005231	0.9
102	-0.439591	0.000000	17.614761	0.005853	0.9
103	-0.433745	0.000000	17.614761	0.006219	0.9
104	-0.445016	0.000000	17.614761	0.008770	0.9
105	-0.431958	0.000000	17.614761	0.006921	1.0
106	-0.449795	0.791738	16.974781	0.005190	0.9
107	-0.437901	1.791733	16.230007	0.007209	0.9
108	-0.427885	1.545784	16.407058	0.005937	1.0
109	-0.437073	2.264033	15.900510	0.005260	0.9
110	-0.414598	2.018160	16.070354	0.007496	1.0
111	-0.396544	1.772211	16.243920	0.007099	0.9
112	-0.432357	2.772211	15.560605	0.003897	1.0
113	-0.424630	2.526301	15.723253	0.008292	0.9
114	-0.454449	3.526301	15.082176	0.006472	0.9
115	-0.436556	4.475744	14.520086	0.004003	1.0
116	-0.437832	4.669508	14.410482	0.005127	0.9
117	-0.412214	4.433459	14.544226	0.006801	0.9
118	-0.446026	4.187510	14.686247	0.010351	0.9
119	-0.429735	3.941561	14.831068	0.004579	0.9
120	-0.434437	3.695612	14.978774	0.005958	0.9
121	-0.458483	3.449662	15.129452	0.007777	0.9
122	-0.450222	3.203713	15.283192	0.005059	0.9
123	-0.447321	3.031199	15.392906	0.009183	0.9
124	-0.441484	2.785250	15.552075	0.008024	1.0
125	-0.446139	2.539301	15.714570	0.006222	0.9
126	-0.446457	2.293360	15.880490	0.005318	0.9
127	-0.430868	2.052983	16.046079	0.005392	0.9
128	-0.436345	2.801684	15.541337	0.007132	0.9
129	-0.444953	3.801684	14.914712	0.004066	0.9
130	-0.422495	3.555735	15.064098	0.004913	0.9
131	-0.432787	3.463570	15.120850	0.006317	1.0
132	-0.436146	4.326863	14.605440	0.005832	0.9
133	-0.458126	4.080913	14.748665	0.005242	1.0
134	-0.452989	3.834965	14.894725	0.006534	0.9
135	-0.453934	4.687231	14.400540	0.006701	0.9
136	-0.435611	5.686956	13.861078	0.004700	0.9
137	-0.439144	5.441007	13.990011	0.004473	1.0
138	-0.437371	5.195736	14.121000	0.004673	1.0
139	-0.427993	4.950446	14.254475	0.006031	0.9
140	-0.452979	4.835219	14.318051	0.003819	1.0
141	-0.433482	4.897155	14.283808	0.004672	1.0
142	-0.456539	4.674823	14.407499	0.009376	1.0
143	-0.436768	4.428873	14.546849	0.006291	1.0
144	-0.453711	5.428873	13.996434	0.004821	0.9
145	-0.468140	6.428415	13.486378	0.010487	0.9
146	-0.442062	6.182466	13.608404	0.006928	1.0
147	-0.455769	5.936517	13.732658	0.006040	1.0
148	-0.438873	6.936442	13.241127	0.006896	1.0
149	-0.452883	6.691488	13.358256	0.003992	0.9
150	-0.427502	6.445540	13.477963	0.004448	0.9
151	-0.443665	6.199690	13.599787	0.007045	0.9
152	-0.432728	7.188255	13.122841	0.005154	0.9
153	-0.454996	6.942306	13.238348	0.004192	1.0
154	-0.422209	6.699047	13.354610	0.005092	0.9
155	-0.443484	6.453418	13.474096	0.005707	0.9
156	-0.458658	6.207469	13.595898	0.005682	1.0
157	-0.463745	7.168345	13.132116	0.006659	1.0
158	-0.459846	6.922396	13.247788	0.005538	0.9
159	-0.432639	7.038181	13.193081	0.005239	0.9
160	-0.452485	8.013858	12.749424	0.004936	0.9
161	-0.450526	7.847536	12.822931	0.003290	0.9
162	-0.457412	7.601592	12.933195	0.007322	0.9
163	-0.429558	7.355645	13.045374	0.005831	1.0
164	-0.441065	8.355645	12.600983	0.004412	1.0
165	-0.463219	8.109695	12.707449	0.005829	0.9
166	-0.459935	9.086569	12.294854	0.007151	1.0
167	-0.446564	8.873395	12.382589	0.008059	0.9
168	-0.440130	8.627446	12.485382	0.005401	0.9
169	-0.421347	8.381497	12.589896	0.007061	1.0
170	-0.455399	8.135565	12.696166	0.003672	1.0
171	-0.444838	9.103324	12.288011	0.005717	0.9
172	-0.453066	8.857375	12.389233	0.008306	0.9
173	-0.451503	8.611461	12.492122	0.007514	1.0
174	-0.433521	8.365511	12.596749	0.004125	0.9
175	-0.430555	8.119562	12.703144	0.006749	0.9
176	-0.428707	7.873613	12.811351	0.005803	0.9
177	-0.430207	8.565814	12.511409	0.003826	0.9
178	-0.456551	8.320055	12.616279	0.007403	1.0
179	-0.444365	8.303365	12.623465	0.004855	1.0
